sample	sampling_date	study	rhizome_length	rhizome_height	rhizome_width	rhizome_volume	stems	stem_length	inflorescence_length	flower_lenghth	bulbil_length	leaves	leaf_length	stipe_length	fresh_root_weight	root_length	pH	organic_matter_percentage	soil_nitrogen	soil_carbon	CN_ratio	moisture	conductivity	sequencing_type	Area	Locality	Description	Coordinates_N_UTM	Coordinates_E_UTM	UTM	Warming	Vegetation	Block	Fence	alldetectedASVs	noofseq	ASVs_rarefied	ratioFlToBul	ratioInflToStem	Pathotrophs	Pathotroph_saprotroph	Pathotroph_saprotroph_symbiotroph	pathotroph_symbiotroph	saprotroph	saprotroph_symbiotroph	symbiotroph	ratio_symbio_sapro	ratio_symbio_sapro_reads	tempC_meanyear	prec_sumyear	composition_abu	composition_pa	Shannon_H	Pielou_J	mean_July_temp_yearpriortosampling	mean_July_temp_yearofsampling
1.1.10	27/07/2012	isdammen	9.55	3.55	5.33	180.7	1	42.82	17.81	1.42	15.37	4	17.98	9.29	0.103	47.77	6.24	10.25	0.311	4.91	15.794	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	173	115930	143	0.092387768	0.415927137	1	16	4	0	19	17	46	2.421052632	0.8	-4.4833333	851	0.015817447	-0.043909859	3.327729823	0.668657396	4.15	4.15
1.1.11	02/09/2012	isdammen	14.77	5.64	4.22	351.5	1	46.09	11.24	1.97	10.23	6	16.63	20.09	0.1252	58.37	6.32	17.37	0.458	9.351	20.401	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	243	194901	186	0.19257087	0.243870688	0	17	1	0	32	10	76	2.375	0.181818182	-4.4833333	851	-0.041093392	-0.06266917	3.626287718	0.68973674	4.15	4.15
1.1.12	02/09/2012	isdammen	13.52	4.05	3.18	174.1	1	28.1	10.51	0	10.51	5	11.36	9.61	0.1919	73.23	6.57	12.14	0.353	6.96	19.706	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	213	135349	184	0	0.374021352	1	13	4	0	14	11	74	5.285714286	0.111111111	-4.4833333	851	-0.020124172	-0.062119733	3.894152457	0.752326084	4.15	4.15
1.1.13	02/09/2012	isdammen	20.73	4.61	3.96	378.4	1	33.62	7.39	0	7.39	5	12.47	13.01	0.0943	49.56	6.66	16.5	0.455	8.853	19.435	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	174	87059	151	0	0.219809637	3	10	5	1	28	6	42	1.5	0.063829787	-4.4833333	851	-0.049862298	-0.082025878	3.780790022	0.752563682	4.15	4.15
1.1.14	02/09/2012	isdammen	10.04	3.96	3.05	121.3	1	27.78	8.18	1.87	6.42	6	15.95	10.44	0.1321	58.49	6.42	16.61	0.442	7.692	17.398	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	90	40666	81	0.291277259	0.294456443	0	2	1	0	13	8	33	2.538461538	9.571428571	-4.4833333	851	-0.078153555	-0.140051524	2.512294102	0.568541463	4.15	4.15
1.1.15	02/09/2012	isdammen	16.01	4.14	3.37	223.4	1	33.18	9.77	0	9.77	6	13.9	13.18	0.0987	45.74	6.44	15.11	0.373	6.236	16.696	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	204	59919	188	0	0.294454491	0	31	4	0	19	13	52	2.736842105	0.395833333	-4.4833333	851	-0.03731463	-0.09621781	3.876352701	0.739515411	4.15	4.15
1.1.21	13/06/2013	isdammen	12.73	6.43	4.15	339.7	1	32.75	0	0	0	NA	NA	NA	0.1218	52.72	6.05	9.52	0.321	4.572	14.229	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	131	52178	121	NA	0	0	13	0	0	16	14	55	3.4375	1.710843373	-3.275	792	0.307955044	0.11900263	2.964955118	0.619312842	4.15	5.15
1.1.22	13/06/2013	isdammen	15.53	5.58	4.55	394.3	1	28.03	0	0	0	NA	NA	NA	0.1725	53.01	6.18	15.66	0.329	5.007	15.216	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	95	36099	93	NA	0	1	12	1	0	24	9	30	1.25	4.947368421	-3.275	792	0.252544094	-0.031419104	2.346730152	0.517744874	4.15	5.15
1.1.23	13/06/2013	isdammen	10.95	5.55	3.61	219.4	0	NA	NA	NA	NA	NA	NA	NA	0.1916	75.03	6.26	11.9	0.308	4.499	14.603	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	117	54960	101	NA	NA	0	14	5	0	20	10	32	1.6	0.933333333	-3.275	792	0.251827659	0.024318883	2.96244486	0.63654278	4.15	5.15
1.1.24	13/06/2013	isdammen	10.84	4.41	3.41	163	0	NA	NA	NA	NA	NA	NA	NA	0.1661	55.34	6.36	10.14	0.323	4.877	15.078	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	132	33325	127	NA	NA	0	9	0	0	13	5	60	4.615384615	12.46153846	-3.275	792	0.034798987	-0.157169022	3.556576741	0.736608459	4.15	5.15
1.1.25	13/06/2013	isdammen	19.38	5.31	4.39	451.8	0	NA	NA	NA	NA	NA	NA	NA	0.1411	72.1	6.28	11.69	0.315	4.53	14.364	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	144	95232	127	NA	NA	2	18	2	0	24	9	51	2.125	10	-3.275	792	0.216014462	-0.034716189	2.909834093	0.598754407	4.15	5.15
1.1.26	27/07/2013	isdammen	9.58	5.42	3.77	195.8	1	18.57	8.65	0	8.65	4	11.6	8.69	0.0764	34.79	6.23	14	0.519	7.993	15.412	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	163	68415	147	0	0.465805062	2	7	0	0	20	6	53	2.65	0.301886792	-3.275	792	0.028691112	-0.125386874	3.657950546	0.735010297	4.15	5.15
1.1.27	27/07/2013	isdammen	13.76	5.88	4.27	345.5	2	33.92	11.4	0	11.4	4	13.46	16.44	0.286	68.16	6.39	11.51	0.377	5.923	15.723	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	150	31241	144	0	0.336084906	2	15	3	0	33	12	50	1.515151515	1.415929204	-3.275	792	0.143187773	-0.073315936	3.308837553	0.661245615	4.15	5.15
