year	month	temperature	precipitation	relative_humidity	Location	study
2000	1	263.9	37	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	2	261.5	3	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	3	258.7	17	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	4	259.5	18	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	5	267.1	18	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	6	273.5	52	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	7	276.3	37	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	8	275	17	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	9	273.4	30	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	10	273.2	49	92	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	11	269.1	20	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	12	261.8	16	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	1	264	36	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	2	263.3	25	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	3	256.2	7	73	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	4	260	11	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	5	268.3	15	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	6	274.1	31	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	7	276.6	16	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	8	276.4	18	91	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	9	274.2	38	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	10	267.5	33	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	11	261.2	54	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	12	262.6	30	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	1	260.4	39	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	2	258.5	15	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	3	258	11	72	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	4	266.2	36	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	5	268	6	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	6	275.2	24	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	7	277.3	12	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	8	277.4	30	92	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	9	271.2	24	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	10	268.7	28	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	11	267.3	31	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	12	264.2	32	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	1	255.1	5	71	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	2	261.6	29	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
